groupColor,hex,tagline,profile,flippedProfile
Purple,7820CF,Average Loans for Average Men,<span>Average income men</span> and apply for <span>average amount</span> and <span>duration</span> loans.,The network believes there are <span>fewer</span> applicants <span>similar</span> to the Purple group after flipping their gender.
Pink,CF2089,Large Loans for Low-Income People,<span>Low-income men and<br> women</span> that ask for <span>large<br> amount</span> and <span>short duration</span><br> loans.,The network believes the <span>same</span> applicants are <span>similar</span> to the Pink group after flipping their gender.
Orange,EC863C,Small Loans for Average Women,<span>Slightly below average</span><br> income women that apply<br> for a <span>low amount</span> and <span>long<br>duration</span> loans.,The network believes there are <span>more</span> applicants <span>similar</span> to the Orange group after flipping their gender.
Blue,3C4EEC,Large Loans for High-Income Women,<span>High-income women</span> that <br> apply for a <span>large amount</span> <br> loans.,The network believes there are <span>more</span> applicants <span>similar</span> to the Blue group after flipping their gender.
