groupColor,hex,tagline,profile,flippedProfile
Purple,7820CF,Average Loans for Average Men,Average income men and apply for average amount and duration loans.,The network believes there are fewer applicants similar to the Purple group after flipping their gender.
Orange,EC863C,Small Loans for Average Women,Slightly below average income women that apply for a low amount and long duration loans.,The network believes there are more applicants similar to the Orange group after flipping their gender.
Pink,CF2089,Large Loans for Low-Income People,Low-income men and women that ask for a large amount and short duration loans.,The network believes the same applicants are similar to the Pink group after flipping their gender.
Blue,3C4EEC,Large Loans for High-Income Women,High-income women that apply for a large amount loans. ,The network believes there are more applicants similar to the Blue group after flipping their gender.
